sessionId,raceId,sessionDate,sessionTime,sessionType
276,1075,2022-03-26,17:00:00,Qualifying
277,1076,2022-04-09,06:00:00,Qualifying
278,1077,2022-04-22,15:00:00,Qualifying
279,1078,2022-05-07,20:00:00,Qualifying
280,1079,2022-05-21,14:00:00,Qualifying
281,1080,2022-05-28,14:00:00,Qualifying
282,1081,2022-06-11,14:00:00,Qualifying
283,1082,2022-06-18,20:00:00,Qualifying
284,1083,2022-07-02,14:00:00,Qualifying
285,1084,2022-07-08,15:00:00,Qualifying
286,1085,2022-07-23,14:00:00,Qualifying
287,1086,2022-07-30,14:00:00,Qualifying
288,1087,2022-08-27,14:00:00,Qualifying
289,1088,2022-09-03,13:00:00,Qualifying
290,1089,2022-09-10,14:00:00,Qualifying
291,1091,2022-10-01,13:00:00,Qualifying
292,1092,2022-10-08,06:00:00,Qualifying
293,1093,2022-10-22,22:00:00,Qualifying
294,1094,2022-10-29,20:00:00,Qualifying
295,1095,2022-11-11,19:00:00,Qualifying
296,1096,2022-11-19,14:00:00,Qualifying
297,1098,2023-03-04,15:00:00,Qualifying
298,1099,2023-03-18,17:00:00,Qualifying
299,1100,2023-04-01,05:00:00,Qualifying
300,1101,2023-04-28,13:00:00,Qualifying
301,1102,2023-05-06,20:00:00,Qualifying
302,1104,2023-05-27,14:00:00,Qualifying
303,1105,2023-06-03,14:00:00,Qualifying
304,1106,2023-06-17,20:00:00,Qualifying
305,1107,2023-06-30,15:00:00,Qualifying
306,1108,2023-07-08,14:00:00,Qualifying
307,1109,2023-07-22,14:00:00,Qualifying
308,1110,2023-07-28,15:00:00,Qualifying
309,1111,2023-08-26,13:00:00,Qualifying
310,1112,2023-09-02,14:00:00,Qualifying
311,1113,2023-09-16,13:00:00,Qualifying
312,1114,2023-09-23,06:00:00,Qualifying
313,1115,2023-10-06,17:00:00,Qualifying
314,1116,2023-10-20,21:00:00,Qualifying
315,1117,2023-10-28,21:00:00,Qualifying
316,1118,2023-11-03,18:00:00,Qualifying
317,1119,2023-11-17,08:00:00,Qualifying
318,1120,2023-11-25,14:00:00,Qualifying
319,1121,2024-03-01,16:00:00,Qualifying
320,1122,2024-03-08,17:00:00,Qualifying
321,1123,2024-03-23,05:00:00,Qualifying
322,1124,2024-04-06,06:00:00,Qualifying
323,1125,2024-04-20,07:00:00,Qualifying
324,1126,2024-05-04,20:00:00,Qualifying
325,1127,2024-05-18,14:00:00,Qualifying
326,1128,2024-05-25,14:00:00,Qualifying
327,1129,2024-06-08,20:00:00,Qualifying
328,1130,2024-06-22,14:00:00,Qualifying
329,1131,2024-06-29,14:00:00,Qualifying
330,1132,2024-07-06,14:00:00,Qualifying
331,1133,2024-07-20,14:00:00,Qualifying
332,1134,2024-07-27,14:00:00,Qualifying
333,1135,2024-08-24,13:00:00,Qualifying
334,1136,2024-08-31,14:00:00,Qualifying
335,1137,2024-09-14,12:00:00,Qualifying
336,1138,2024-09-21,13:00:00,Qualifying
337,1139,2024-10-19,22:00:00,Qualifying
338,1140,2024-10-26,21:00:00,Qualifying
339,1141,2024-11-02,18:00:00,Qualifying
340,1142,2024-11-22,06:00:00,Qualifying
341,1143,2024-11-30,17:00:00,Qualifying
342,1144,2024-12-07,14:00:00,Qualifying
343,1061,2021-07-17,\N,Sprint
344,1065,2021-09-11,\N,Sprint
345,1071,2021-11-13,\N,Sprint
346,1077,2022-04-23,14:30:00,Sprint
347,1084,2022-07-09,14:30:00,Sprint
348,1095,2022-11-12,19:30:00,Sprint
349,1101,2023-04-29,13:30:00,Sprint
350,1107,2023-07-01,14:30:00,Sprint
351,1110,2023-07-29,14:30:00,Sprint
352,1115,2023-10-07,17:30:00,Sprint
353,1116,2023-10-21,22:00:00,Sprint
354,1118,2023-11-04,18:30:00,Sprint
355,1125,2024-04-20,03:00:00,Sprint
356,1126,2024-05-04,16:00:00,Sprint
357,1131,2024-06-29,10:00:00,Sprint
358,1139,2024-10-19,18:00:00,Sprint
359,1141,2024-11-02,14:00:00,Sprint
360,1143,2024-11-30,13:00:00,Sprint
